rainfall_1h,rainfall_6h,rainfall_24h,rainfall_72h,API_3d,API_7d,API_30d,rainfall_accumulation_3h,rainfall_intensity_3h,rainfall_acceleration,soil_moisture,soil_moisture_trend_24h,pore_pressure,pore_pressure_trend_24h,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,seismic_magnitude,seismic_distance,seismic_trigger_score,seismic_recency_hours,elevation,slope,aspect,curvature,NDVI,NDVI_change,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,FoS,CRI,sector_id,timestamp,event_label,geographic_group,provenance
3.4,9.7,24.345107725078563,39.0,29.2,44.8,62.4,6.5,3.2,0.08,0.371,0.01,7.0,0.4,0.35,0.03,0.5,0.3,0.0,999.0,0.0,999.0,1606.0,30.4,254.9,-0.0775,0.84,0.04,0.015,0.35,0.75,600.0,1.3,12.0,DEMO-SEC-01,2026-09-08T00:00:00Z,0,demo_synthetic_cluster,[DEMO]
22.7,64.8,162.0352054217846,259.3,194.5,298.2,414.9,43.8,21.6,0.96,0.533,0.24,20.0,17.6,3.17,2.42,31.6,11.1,0.0,999.0,0.0,999.0,639.5,40.2,213.3,-0.0744,0.52,-0.22,0.015,0.72,0.75,600.0,0.73,89.6,DEMO-SEC-02,2026-09-08T01:00:00Z,1,demo_synthetic_cluster,[DEMO]
6.2,17.8,44.4751467232902,71.2,53.4,81.9,113.9,12.0,5.9,0.31,0.279,0.05,2.4,1.8,0.3,0.06,0.2,0.5,0.0,999.0,0.0,999.0,1310.7,26.4,187.2,-0.0144,0.69,0.05,0.015,0.23,0.75,600.0,1.79,19.1,DEMO-SEC-03,2026-09-08T02:00:00Z,0,demo_synthetic_cluster,[DEMO]
21.2,60.6,151.55811486610597,242.5,181.9,278.9,388.0,40.9,20.2,2.65,0.465,0.13,22.6,6.1,3.39,2.43,28.0,19.1,0.0,999.0,0.0,999.0,757.4,40.7,50.7,0.0163,0.41,-0.05,0.015,0.88,0.75,600.0,0.88,78.9,DEMO-SEC-04,2026-09-08T03:00:00Z,1,demo_synthetic_cluster,[DEMO]
7.0,20.1,50.13257253458647,80.2,60.2,92.2,128.3,13.6,6.7,0.19,0.213,0.01,4.2,1.4,0.11,0.08,2.2,0.3,0.0,999.0,0.0,999.0,442.2,26.4,117.1,0.0076,0.78,0.04,0.015,0.47,0.75,600.0,1.61,21.6,DEMO-SEC-05,2026-09-08T04:00:00Z,0,demo_synthetic_cluster,[DEMO]
25.8,73.7,184.31751560008297,294.9,221.2,339.1,471.8,49.8,24.6,1.35,0.523,0.11,24.0,9.5,2.56,1.12,22.0,23.6,0.0,999.0,0.0,999.0,805.8,40.1,326.7,-0.0501,0.48,-0.1,0.015,0.9,0.75,600.0,0.56,85.9,DEMO-SEC-06,2026-09-08T05:00:00Z,1,demo_synthetic_cluster,[DEMO]
5.8,16.5,41.17124417317753,65.9,49.4,75.8,105.4,11.2,5.5,0.34,0.357,0.0,7.5,1.0,0.14,0.04,2.2,0.1,0.0,999.0,0.0,999.0,1649.3,26.5,39.6,-0.0526,0.74,0.04,0.015,0.24,0.75,600.0,1.55,38.3,DEMO-SEC-07,2026-09-08T06:00:00Z,0,demo_synthetic_cluster,[DEMO]
23.4,66.9,167.13766885439907,267.4,200.5,307.5,427.8,45.2,22.3,2.26,0.573,0.18,22.5,6.6,3.69,1.36,44.0,23.2,0.0,999.0,0.0,999.0,1745.5,36.0,179.0,-0.0439,0.46,-0.24,0.015,0.76,0.75,600.0,0.7,94.3,DEMO-SEC-08,2026-09-08T07:00:00Z,1,demo_synthetic_cluster,[DEMO]
1.3,3.8,9.418166685929501,15.1,11.3,17.4,24.2,2.5,1.3,0.33,0.288,0.02,8.9,0.4,0.17,0.0,1.7,0.3,0.0,999.0,0.0,999.0,1405.9,27.1,227.6,-0.004,0.76,-0.01,0.015,0.44,0.75,600.0,1.7,18.3,DEMO-SEC-09,2026-09-08T08:00:00Z,0,demo_synthetic_cluster,[DEMO]
18.4,52.7,131.82466118206418,210.9,158.2,242.5,337.4,35.5,17.6,1.42,0.521,0.2,21.2,15.8,3.98,1.91,24.5,15.6,0.0,999.0,0.0,999.0,1708.3,34.2,122.8,-0.0664,0.58,-0.07,0.015,0.76,0.75,600.0,0.83,79.7,DEMO-SEC-10,2026-09-08T09:00:00Z,1,demo_synthetic_cluster,[DEMO]
0.8,2.4,6.051679907383448,9.7,7.3,11.2,15.5,1.6,0.8,0.36,0.361,0.03,8.3,0.0,0.37,0.01,0.9,0.3,0.0,999.0,0.0,999.0,1650.8,34.4,280.8,-0.003,0.67,-0.01,0.015,0.2,0.75,600.0,1.43,35.4,DEMO-SEC-11,2026-09-08T10:00:00Z,0,demo_synthetic_cluster,[DEMO]
