rainfall_1h,rainfall_6h,rainfall_24h,rainfall_72h,API_3d,API_7d,API_30d,rainfall_accumulation_3h,rainfall_intensity_3h,rainfall_acceleration,soil_moisture,soil_moisture_trend_24h,pore_pressure,pore_pressure_trend_24h,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,seismic_magnitude,seismic_distance,seismic_trigger_score,seismic_recency_hours,elevation,slope,aspect,curvature,NDVI,NDVI_change,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,FoS,CRI,sector_id,timestamp,event_label,geographic_group
25.9,74.0,185.0,305.2,244.2,366.2,549.4,50.0,24.7,2.1,0.54,0.16,28.2,12.5,4.1,1.8,48.0,15.0,0.0,999.0,0.0,999.0,890.0,42.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.62,89.0,SK-NH10-KM48,2024-10-04T06:00:00Z,1,sikkim_teesta_corridor
29.4,84.0,210.0,346.5,277.2,415.8,623.7,56.7,28.0,2.1,0.56,0.16,31.5,12.5,4.8,1.8,54.0,15.0,0.0,999.0,0.0,999.0,1250.0,44.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.55,92.5,SK-MANGAN-01,2024-06-12T14:00:00Z,1,sikkim_north_corridor
19.6,56.0,140.0,231.0,184.8,277.2,415.8,37.8,18.7,2.1,0.58,0.16,34.0,12.5,3.9,1.8,65.0,15.0,0.0,999.0,0.0,999.0,420.0,39.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.48,94.0,SK-SINGTAM-01,2023-10-04T01:30:00Z,1,sikkim_teesta_corridor
25.2,72.0,180.0,297.0,237.6,356.4,534.6,48.6,24.0,2.1,0.52,0.16,26.4,12.5,3.85,1.8,42.5,15.0,0.0,999.0,0.0,999.0,640.0,41.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.68,88.5,MN-NONEY-01,2022-06-29T23:30:00Z,1,manipur_tupul_corridor
23.1,66.0,165.0,272.2,217.8,326.6,490.0,44.5,22.0,2.1,0.5,0.16,24.0,12.5,3.2,1.8,36.0,15.0,0.0,999.0,0.0,999.0,1100.0,38.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.74,82.0,MN-TAMENG-01,2024-07-02T08:00:00Z,1,manipur_west_corridor
28.7,82.0,205.0,338.2,270.6,405.8,608.8,55.4,27.3,2.1,0.55,0.16,29.8,12.5,4.5,1.8,52.0,15.0,0.0,999.0,0.0,999.0,920.0,45.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.58,91.0,MZ-AIZAWL-MELTHUM,2024-05-28T05:30:00Z,1,mizoram_aizawl_basin
21.0,60.0,150.0,247.5,198.0,297.0,445.5,40.5,20.0,2.1,0.48,0.16,22.0,12.5,2.9,1.8,28.0,15.0,0.0,999.0,0.0,999.0,720.0,36.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.81,78.0,MZ-LUNGLEI-01,2023-08-22T11:00:00Z,1,mizoram_south_corridor
32.2,92.0,230.0,379.5,303.6,455.4,683.1,62.1,30.7,2.1,0.57,0.16,32.0,12.5,4.7,1.8,58.0,15.0,0.0,999.0,0.0,999.0,510.0,40.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.52,93.0,AS-DIMA-HASAO-01,2022-05-16T09:00:00Z,1,assam_barak_valley
23.8,68.0,170.0,280.5,224.4,336.6,504.9,45.9,22.7,2.1,0.51,0.16,25.0,12.5,3.4,1.8,35.0,15.0,0.0,999.0,0.0,999.0,180.0,35.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.76,81.0,AS-CACHAR-01,2024-06-18T16:00:00Z,1,assam_barak_valley
49.0,140.0,350.0,577.5,462.0,693.0,1039.5,94.5,46.7,2.1,0.6,0.16,38.0,12.5,4.9,1.8,62.0,15.0,0.0,999.0,0.0,999.0,1400.0,46.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.45,96.0,ML-MAWSYNRAM-01,2022-06-17T12:00:00Z,1,meghalaya_plateau_corridor
22.4,64.0,160.0,264.0,211.2,316.8,475.2,43.2,21.3,2.1,0.49,0.16,23.5,12.5,3.1,1.8,31.0,15.0,0.0,999.0,0.0,999.0,1520.0,37.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.79,79.5,ML-SHILLONG-01,2024-07-10T10:00:00Z,1,meghalaya_plateau_corridor
24.5,70.0,175.0,288.8,231.0,346.6,519.8,47.2,23.3,2.1,0.52,0.16,26.0,12.5,3.6,1.8,40.0,15.0,0.0,999.0,0.0,999.0,1440.0,39.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.72,83.5,NL-KOHIMA-01,2024-09-03T07:00:00Z,1,nagaland_kohima_corridor
20.3,58.0,145.0,239.2,191.4,287.0,430.6,39.1,19.3,2.1,0.47,0.16,21.0,12.5,2.7,1.8,26.0,15.0,0.0,999.0,0.0,999.0,1350.0,36.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.84,75.0,NL-PHEK-01,2023-07-28T15:00:00Z,1,nagaland_kohima_corridor
26.6,76.0,190.0,313.5,250.8,376.2,564.3,51.3,25.3,2.1,0.53,0.16,27.5,12.5,4.0,1.8,44.0,15.0,0.0,999.0,0.0,999.0,2800.0,43.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.65,87.0,AR-TAWANG-01,2024-06-25T13:00:00Z,1,arunachal_kameng_corridor
21.7,62.0,155.0,255.8,204.6,307.0,460.4,41.9,20.7,2.1,0.48,0.16,22.5,12.5,2.8,1.8,29.0,15.0,0.0,999.0,0.0,999.0,450.0,35.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.8,77.0,AR-ITANAGAR-01,2023-06-20T09:30:00Z,1,arunachal_papum_corridor
22.4,64.0,160.0,264.0,211.2,316.8,475.2,43.2,21.3,2.1,0.49,0.16,23.0,12.5,3.0,1.8,32.0,15.0,0.0,999.0,0.0,999.0,680.0,34.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.78,78.5,TR-JAMPUI-01,2024-08-20T11:00:00Z,1,tripura_jampui_hills
18.9,54.0,135.0,222.8,178.2,267.4,401.0,36.5,18.0,2.1,0.46,0.16,20.0,12.5,2.5,1.8,24.0,15.0,0.0,999.0,0.0,999.0,210.0,32.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.85,72.0,TR-DHARMAN-01,2023-07-14T06:00:00Z,1,tripura_jampui_hills
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.02,2.0,0.4,0.08,0.03,0.2,0.1,0.0,999.0,0.0,999.0,750.0,31.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.78,14.0,CTRL-SK-DRY-01,2023-01-15T12:00:00Z,0,sikkim_dry
0.1,0.5,1.5,2.2,1.5,2.4,3.3,0.3,0.2,0.05,0.24,0.02,2.5,0.4,0.1,0.03,0.3,0.1,0.0,999.0,0.0,999.0,820.0,30.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.72,16.0,CTRL-MZ-DRY-01,2023-02-10T12:00:00Z,0,mizoram_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.02,1.8,0.4,0.07,0.03,0.2,0.1,0.0,999.0,0.0,999.0,610.0,29.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.82,12.0,CTRL-MN-DRY-01,2023-03-05T12:00:00Z,0,manipur_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.02,2.2,0.4,0.09,0.03,0.2,0.1,0.0,999.0,0.0,999.0,220.0,28.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.75,15.0,CTRL-AS-DRY-01,2023-02-20T12:00:00Z,0,assam_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.02,1.5,0.4,0.06,0.03,0.1,0.1,0.0,999.0,0.0,999.0,1300.0,33.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.85,11.0,CTRL-ML-DRY-01,2023-01-28T12:00:00Z,0,meghalaya_dry
0.2,0.7,2.0,3.0,2.1,3.3,4.5,0.4,0.2,0.05,0.25,0.02,2.8,0.4,0.11,0.03,0.3,0.1,0.0,999.0,0.0,999.0,1200.0,31.5,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.7,17.0,CTRL-NL-DRY-01,2023-03-12T12:00:00Z,0,nagaland_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.02,1.2,0.4,0.05,0.03,0.1,0.1,0.0,999.0,0.0,999.0,2200.0,34.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.9,10.0,CTRL-AR-DRY-01,2023-02-18T12:00:00Z,0,arunachal_dry
