rainfall_1h,rainfall_6h,rainfall_24h,rainfall_72h,API_3d,API_7d,API_30d,rainfall_accumulation_3h,rainfall_intensity_3h,rainfall_acceleration,soil_moisture,soil_moisture_trend_24h,pore_pressure,pore_pressure_trend_24h,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,seismic_magnitude,seismic_distance,seismic_trigger_score,seismic_recency_hours,elevation,slope,aspect,curvature,NDVI,NDVI_change,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,FoS,CRI,sector_id,timestamp,event_label,geographic_group
32.2,92.0,230.0,379.5,303.6,455.4,683.1,62.1,30.7,2.1,0.57,0.16,32.0,12.5,4.7,1.8,58.0,15.0,0.0,999.0,0.0,999.0,510.0,40.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.52,93.0,AS-DIMA-HASAO-01,2022-05-16T09:00:00Z,1,assam_barak_valley
49.0,140.0,350.0,577.5,462.0,693.0,1039.5,94.5,46.7,2.1,0.6,0.16,38.0,12.5,4.9,1.8,62.0,15.0,0.0,999.0,0.0,999.0,1400.0,46.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.45,96.0,ML-MAWSYNRAM-01,2022-06-17T12:00:00Z,1,meghalaya_plateau_corridor
25.2,72.0,180.0,297.0,237.6,356.4,534.6,48.6,24.0,2.1,0.52,0.16,26.4,12.5,3.85,1.8,42.5,15.0,0.0,999.0,0.0,999.0,640.0,41.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.68,88.5,MN-NONEY-01,2022-06-29T23:30:00Z,1,manipur_tupul_corridor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.02,2.0,0.4,0.08,0.03,0.2,0.1,0.0,999.0,0.0,999.0,750.0,31.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.78,14.0,CTRL-SK-DRY-01,2023-01-15T12:00:00Z,0,sikkim_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.02,2.4,0.4,0.08,0.03,0.2,0.1,0.0,999.0,0.0,999.0,190.0,26.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.76,15.0,CTRL-TR-DRY-01,2023-01-22T12:00:00Z,0,tripura_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.02,1.5,0.4,0.06,0.03,0.1,0.1,0.0,999.0,0.0,999.0,1300.0,33.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.85,11.0,CTRL-ML-DRY-01,2023-01-28T12:00:00Z,0,meghalaya_dry
0.1,0.5,1.5,2.2,1.5,2.4,3.3,0.3,0.2,0.05,0.24,0.02,2.5,0.4,0.1,0.03,0.3,0.1,0.0,999.0,0.0,999.0,820.0,30.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.72,16.0,CTRL-MZ-DRY-01,2023-02-10T12:00:00Z,0,mizoram_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.02,1.2,0.4,0.05,0.03,0.1,0.1,0.0,999.0,0.0,999.0,2200.0,34.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.9,10.0,CTRL-AR-DRY-01,2023-02-18T12:00:00Z,0,arunachal_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.02,2.2,0.4,0.09,0.03,0.2,0.1,0.0,999.0,0.0,999.0,220.0,28.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.75,15.0,CTRL-AS-DRY-01,2023-02-20T12:00:00Z,0,assam_dry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.02,1.8,0.4,0.07,0.03,0.2,0.1,0.0,999.0,0.0,999.0,610.0,29.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.82,12.0,CTRL-MN-DRY-01,2023-03-05T12:00:00Z,0,manipur_dry
0.2,0.7,2.0,3.0,2.1,3.3,4.5,0.4,0.2,0.05,0.25,0.02,2.8,0.4,0.11,0.03,0.3,0.1,0.0,999.0,0.0,999.0,1200.0,31.5,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.7,17.0,CTRL-NL-DRY-01,2023-03-12T12:00:00Z,0,nagaland_dry
21.7,62.0,155.0,255.8,204.6,307.0,460.4,41.9,20.7,2.1,0.48,0.16,22.5,12.5,2.8,1.8,29.0,15.0,0.0,999.0,0.0,999.0,450.0,35.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.8,77.0,AR-ITANAGAR-01,2023-06-20T09:30:00Z,1,arunachal_papum_corridor
