sector_id,timestamp,event_label,event_start,event_window,source,provenance,geographic_group
SK-NH10-KM48,2024-10-04T06:00:00Z,1,2024-10-04T06:00:00Z,6h,GSI Pakyong Field Inspection,[HISTORICAL],sikkim_teesta_corridor
SK-MANGAN-01,2024-06-12T14:00:00Z,1,2024-06-12T14:00:00Z,6h,ISRO DMSG / Sikkim SDMA,[HISTORICAL],sikkim_north_corridor
SK-SINGTAM-01,2023-10-04T01:30:00Z,1,2023-10-04T01:30:00Z,6h,South Lhonak GLOF / GSI Assessment,[HISTORICAL],sikkim_teesta_corridor
MN-NONEY-01,2022-06-29T23:30:00Z,1,2022-06-29T23:30:00Z,6h,GSI Disaster Report GSI-NER-MN-2022-004,[HISTORICAL],manipur_tupul_corridor
MN-TAMENG-01,2024-07-02T08:00:00Z,1,2024-07-02T08:00:00Z,6h,Manipur SDMA Monsoon Bulletin,[HISTORICAL],manipur_west_corridor
MZ-AIZAWL-MELTHUM,2024-05-28T05:30:00Z,1,2024-05-28T05:30:00Z,6h,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,[HISTORICAL],mizoram_aizawl_basin
MZ-LUNGLEI-01,2023-08-22T11:00:00Z,1,2023-08-22T11:00:00Z,6h,Mizoram PWD / DDMA,[HISTORICAL],mizoram_south_corridor
AS-DIMA-HASAO-01,2022-05-16T09:00:00Z,1,2022-05-16T09:00:00Z,6h,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],assam_barak_valley
AS-CACHAR-01,2024-06-18T16:00:00Z,1,2024-06-18T16:00:00Z,6h,Assam State Disaster Management Authority (ASDMA),[HISTORICAL],assam_barak_valley
ML-MAWSYNRAM-01,2022-06-17T12:00:00Z,1,2022-06-17T12:00:00Z,6h,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],meghalaya_plateau_corridor
ML-SHILLONG-01,2024-07-10T10:00:00Z,1,2024-07-10T10:00:00Z,6h,Meghalaya SDMA Flood & Landslide Log,[HISTORICAL],meghalaya_plateau_corridor
NL-KOHIMA-01,2024-09-03T07:00:00Z,1,2024-09-03T07:00:00Z,6h,Nagaland NSDMA Monsoon Assessment,[HISTORICAL],nagaland_kohima_corridor
NL-PHEK-01,2023-07-28T15:00:00Z,1,2023-07-28T15:00:00Z,6h,GSI NLSM Archive,[HISTORICAL],nagaland_kohima_corridor
AR-TAWANG-01,2024-06-25T13:00:00Z,1,2024-06-25T13:00:00Z,6h,BRO Project Vartak / Arunachal SDMA,[HISTORICAL],arunachal_kameng_corridor
AR-ITANAGAR-01,2023-06-20T09:30:00Z,1,2023-06-20T09:30:00Z,6h,GSI Itanagar Road Survey,[HISTORICAL],arunachal_papum_corridor
TR-JAMPUI-01,2024-08-20T11:00:00Z,1,2024-08-20T11:00:00Z,6h,Tripura SDMA Monsoon Deluge Log,[HISTORICAL],tripura_jampui_hills
TR-DHARMAN-01,2023-07-14T06:00:00Z,1,2023-07-14T06:00:00Z,6h,GSI NLSM Archive,[HISTORICAL],tripura_jampui_hills
CTRL-SK-DRY-01,2023-01-15T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],sikkim_dry
CTRL-MZ-DRY-01,2023-02-10T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],mizoram_dry
CTRL-MN-DRY-01,2023-03-05T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],manipur_dry
CTRL-AS-DRY-01,2023-02-20T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],assam_dry
CTRL-ML-DRY-01,2023-01-28T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],meghalaya_dry
CTRL-NL-DRY-01,2023-03-12T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],nagaland_dry
CTRL-AR-DRY-01,2023-02-18T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],arunachal_dry
CTRL-TR-DRY-01,2023-01-22T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],tripura_dry
CTRL-SK-MON-01,2024-05-10T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],sikkim_moderate
CTRL-MZ-MON-01,2024-05-15T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],mizoram_moderate
CTRL-MN-MON-01,2024-05-20T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],manipur_moderate
CTRL-AS-MON-01,2024-06-02T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],assam_moderate
CTRL-ML-MON-01,2024-06-05T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],meghalaya_moderate
CTRL-NL-MON-01,2024-06-08T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],nagaland_moderate
CTRL-AS-HEAVY-01,2024-07-22T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],assam_heavy_stable
CTRL-ML-HEAVY-01,2024-07-25T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],meghalaya_heavy_stable
CTRL-AR-HEAVY-01,2024-08-04T12:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],arunachal_heavy_stable
CTRL-SK-SEIS-01,2024-02-14T03:00:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],sikkim_seismic
CTRL-AS-SEIS-01,2024-03-20T04:30:00Z,0,,6h,Historical Baseline Observation Archive,[HISTORICAL],assam_seismic
