sequence_id,event_id,sample_id,state,district,split_partition,is_event_sample,lead_time_hours,forecast_origin,step_index,timestamp,target_6h,target_12h,target_24h,target_48h,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,rain_96h,rain_120h,rain_168h,rain_intensity,rain_acceleration,antecedent_rain_3d,antecedent_rain_7d,api_30d,temperature_2m,soil_moisture,soil_moisture_change_24h,fos,pore_pressure,effective_stress,hydraulic_saturation,seismic_count_24h,max_magnitude_24h,nearest_seismic_distance,slope,aspect,elevation,curvature,soil_porosity,historical_susceptibility,piezometer_pressure,inclinometer_tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,acoustic_emission,insar_velocity,ndvi,ndvi_anomaly
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,0,2024-09-27T00:00:00,1,1,1,1,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,0.0,3.7,3.7,4.995000000000001,15.4,0.434,0.0,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,1,2024-09-27T01:00:00,1,1,1,1,2.5,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,2.5,-1.2000000000000002,6.2,6.2,8.370000000000001,15.7,0.437,0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,2,2024-09-27T02:00:00,1,1,1,1,1.6,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,1.6,-0.8999999999999999,7.800000000000001,7.800000000000001,10.530000000000001,16.8,0.437,0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,3,2024-09-27T03:00:00,1,1,1,1,1.6,5.699999999999999,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,1.6,0.0,9.4,9.4,12.690000000000001,17.1,0.437,0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,4,2024-09-27T04:00:00,1,1,1,1,1.5,4.7,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,1.5,-0.10000000000000009,10.9,10.9,14.715000000000002,17.5,0.437,0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,5,2024-09-27T05:00:00,1,1,1,1,1.8,4.9,12.700000000000001,12.700000000000001,12.700000000000001,12.700000000000001,12.700000000000001,12.700000000000001,12.700000000000001,12.700000000000001,1.8,0.30000000000000004,12.700000000000001,12.700000000000001,17.145000000000003,17.7,0.438,0.0040000000000000036,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,6,2024-09-27T06:00:00,1,1,1,1,2.9,6.199999999999999,11.9,15.600000000000001,15.600000000000001,15.600000000000001,15.600000000000001,15.600000000000001,15.600000000000001,15.600000000000001,2.9,1.0999999999999999,15.600000000000001,15.600000000000001,21.060000000000002,17.4,0.439,0.0050000000000000044,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,7,2024-09-27T07:00:00,1,1,1,1,4.2,8.9,13.600000000000001,19.799999999999997,19.799999999999997,19.799999999999997,19.799999999999997,19.799999999999997,19.799999999999997,19.799999999999997,4.2,1.3000000000000003,19.799999999999997,19.799999999999997,26.729999999999997,17.4,0.436,0.0020000000000000018,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,8,2024-09-27T08:00:00,1,1,1,1,4.4,11.5,16.4,24.199999999999996,24.199999999999996,24.199999999999996,24.199999999999996,24.199999999999996,24.199999999999996,24.199999999999996,4.4,0.20000000000000018,24.199999999999996,24.199999999999996,32.669999999999995,16.7,0.435,0.0010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,9,2024-09-27T09:00:00,1,1,1,1,3.9,12.500000000000002,18.7,28.099999999999994,28.099999999999994,28.099999999999994,28.099999999999994,28.099999999999994,28.099999999999994,28.099999999999994,3.9,-0.5000000000000004,28.099999999999994,28.099999999999994,37.934999999999995,17.0,0.434,0.0,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,10,2024-09-27T10:00:00,1,1,1,1,3.3,11.600000000000001,20.5,31.399999999999995,31.399999999999995,31.399999999999995,31.399999999999995,31.399999999999995,31.399999999999995,31.399999999999995,3.3,-0.6000000000000001,31.399999999999995,31.399999999999995,42.38999999999999,17.2,0.434,0.0,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,11,2024-09-27T11:00:00,1,1,1,1,4.0,11.2,22.7,35.39999999999999,35.39999999999999,35.39999999999999,35.39999999999999,35.39999999999999,35.39999999999999,35.39999999999999,4.0,0.7000000000000002,35.39999999999999,35.39999999999999,47.78999999999999,16.7,0.438,0.0040000000000000036,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,12,2024-09-27T12:00:00,1,1,1,1,4.6,11.899999999999999,24.4,36.3,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,4.6,0.5999999999999996,39.99999999999999,39.99999999999999,53.99999999999999,16.9,0.433,-0.0010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,13,2024-09-27T13:00:00,1,1,1,1,2.7,11.3,22.900000000000002,36.5,42.699999999999996,42.699999999999996,42.699999999999996,42.699999999999996,42.699999999999996,42.699999999999996,2.7,-1.8999999999999995,42.699999999999996,42.699999999999996,57.644999999999996,16.2,0.436,0.0020000000000000018,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,14,2024-09-27T14:00:00,1,1,1,1,1.7,9.0,20.2,36.60000000000001,44.4,44.4,44.4,44.4,44.4,44.4,1.7,-1.0000000000000002,44.4,44.4,59.940000000000005,16.0,0.435,0.0010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,15,2024-09-27T15:00:00,1,1,1,1,1.0,5.4,17.299999999999997,36.00000000000001,45.4,45.4,45.4,45.4,45.4,45.4,1.0,-0.7,45.4,45.4,61.29,16.0,0.434,0.0,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,16,2024-09-27T16:00:00,1,1,1,1,1.2,3.9000000000000004,15.2,35.7,46.6,46.6,46.6,46.6,46.6,46.6,1.2,0.19999999999999996,46.6,46.6,62.910000000000004,15.6,0.435,0.0010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,17,2024-09-27T17:00:00,1,1,1,1,6.2,8.4,17.4,40.10000000000001,52.800000000000004,52.800000000000004,52.800000000000004,52.800000000000004,52.800000000000004,52.800000000000004,6.2,5.0,52.800000000000004,52.800000000000004,71.28000000000002,15.6,0.435,0.0010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,18,2024-09-27T18:00:00,1,1,1,1,6.9,14.3,19.700000000000003,44.1,59.7,59.7,59.7,59.7,59.7,59.7,6.9,0.7000000000000002,59.7,59.7,80.59500000000001,16.0,0.437,0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,19,2024-09-27T19:00:00,1,1,1,1,6.9,20.0,23.9,46.8,66.60000000000001,66.60000000000001,66.60000000000001,66.60000000000001,66.60000000000001,66.60000000000001,6.9,0.0,66.60000000000001,66.60000000000001,89.91000000000001,15.5,0.436,0.0020000000000000018,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,20,2024-09-27T20:00:00,1,1,1,1,4.4,18.200000000000003,26.6,46.8,71.00000000000001,71.00000000000001,71.00000000000001,71.00000000000001,71.00000000000001,71.00000000000001,4.4,-2.5,71.00000000000001,71.00000000000001,95.85000000000002,17.8,0.431,-0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,21,2024-09-27T21:00:00,1,1,1,1,0.7,12.0,26.3,43.6,71.70000000000002,71.70000000000002,71.70000000000002,71.70000000000002,71.70000000000002,71.70000000000002,0.7,-3.7,71.70000000000002,71.70000000000002,96.79500000000003,17.4,0.429,-0.0050000000000000044,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,22,2024-09-27T22:00:00,1,1,1,1,0.4,5.500000000000001,25.499999999999996,40.7,72.10000000000002,72.10000000000002,72.10000000000002,72.10000000000002,72.10000000000002,72.10000000000002,0.4,-0.29999999999999993,72.10000000000002,72.10000000000002,97.33500000000004,17.4,0.426,-0.008000000000000007,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,23,2024-09-27T23:00:00,1,1,1,1,0.4,1.5,19.7,37.1,72.5,72.5,72.5,72.5,72.5,72.5,0.4,0.0,72.5,72.5,97.875,15.5,0.424,-0.010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,24,2024-09-28T00:00:00,1,1,1,1,1.0,1.8,13.8,33.5,69.80000000000001,73.5,73.5,73.5,73.5,73.5,1.0,0.6,73.5,73.5,99.22500000000001,17.5,0.427,-0.007000000000000006,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,25,2024-09-28T01:00:00,1,1,1,1,2.7,4.1,9.600000000000001,33.5,70.0,76.2,76.2,76.2,76.2,76.2,2.7,1.7000000000000002,76.2,76.2,102.87,15.5,0.438,0.0010000000000000009,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,26,2024-09-28T02:00:00,1,1,1,1,6.4,10.100000000000001,11.600000000000001,38.2,74.80000000000001,82.60000000000001,82.60000000000001,82.60000000000001,82.60000000000001,82.60000000000001,6.4,3.7,82.60000000000001,82.60000000000001,111.51000000000002,16.5,0.439,0.0020000000000000018,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,27,2024-09-28T03:00:00,1,1,1,1,10.0,19.1,20.9,47.2,83.2,92.60000000000001,92.60000000000001,92.60000000000001,92.60000000000001,92.60000000000001,10.0,3.5999999999999996,92.60000000000001,92.60000000000001,125.01000000000002,16.9,0.434,-0.0030000000000000027,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,28,2024-09-28T04:00:00,1,1,1,1,7.6,24.0,28.1,53.6,89.30000000000001,100.2,100.2,100.2,100.2,100.2,7.6,-2.4000000000000004,100.2,100.2,135.27,17.3,0.437,0.0,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,29,2024-09-28T05:00:00,1,1,1,1,12.3,29.900000000000002,40.0,59.7,99.80000000000001,112.5,112.5,112.5,112.5,112.5,12.3,4.700000000000001,112.5,112.5,151.875,17.4,0.438,0.0,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,30,2024-09-28T06:00:00,1,1,1,1,9.9,29.799999999999997,48.9,62.70000000000001,106.80000000000001,122.4,122.4,122.4,122.4,122.4,9.9,-2.4000000000000004,122.4,122.4,165.24,17.8,0.43,-0.009000000000000008,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,31,2024-09-28T07:00:00,1,1,1,1,2.4,24.6,48.599999999999994,58.2,105.00000000000001,124.80000000000001,124.80000000000001,124.80000000000001,124.80000000000001,124.80000000000001,2.4,-7.5,124.80000000000001,124.80000000000001,168.48000000000002,19.3,0.432,-0.0040000000000000036,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,32,2024-09-28T08:00:00,1,1,1,1,0.1,12.4,42.300000000000004,53.9,100.70000000000002,124.9,124.9,124.9,124.9,124.9,0.1,-2.3,124.9,124.9,168.615,20.4,0.427,-0.008000000000000007,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,33,2024-09-28T09:00:00,1,1,1,1,0.0,2.5,32.3,53.199999999999996,96.80000000000001,124.9,124.9,124.9,124.9,124.9,0.0,-0.1,124.9,124.9,168.615,21.0,0.423,-0.01100000000000001,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,34,2024-09-28T10:00:00,1,1,1,1,0.1,0.2,24.800000000000004,52.900000000000006,93.6,125.0,125.0,125.0,125.0,125.0,0.1,0.1,125.0,125.0,168.75,20.4,0.42,-0.014000000000000012,1.1754399547694552,12.262500000000001,36.4875,1.0,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,35,2024-09-28T11:00:00,1,1,1,1,0.3,0.4,12.8,52.8,89.9,125.3,125.3,125.3,125.3,125.3,0.3,0.19999999999999998,125.3,125.3,169.155,19.3,0.419,-0.019000000000000017,1.1763666248857523,12.233303571428573,36.51669642857143,0.9976190476190476,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,36,2024-09-28T12:00:00,1,1,1,1,0.3,0.7,3.1999999999999997,52.1,85.6,125.6,125.6,125.6,125.6,125.6,0.3,0.0,125.6,125.6,169.56,18.6,0.418,-0.015000000000000013,1.1772932950020498,12.204107142857143,36.54589285714286,0.9952380952380953,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,37,2024-09-28T13:00:00,1,1,1,1,0.0,0.6,0.8,49.39999999999999,82.9,125.6,125.6,125.6,125.6,125.6,0.0,-0.3,125.6,125.6,169.56,18.2,0.416,-0.020000000000000018,1.1791466352346445,12.145714285714286,36.604285714285716,0.9904761904761905,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,38,2024-09-28T14:00:00,1,1,1,1,0.0,0.3,0.7,43.0,81.19999999999999,125.6,125.6,125.6,125.6,125.6,0.0,0.0,125.6,125.6,169.56,18.5,0.414,-0.02100000000000002,1.180999975467239,12.087321428571428,36.66267857142857,0.9857142857142857,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,39,2024-09-28T15:00:00,1,1,1,1,0.0,0.0,0.7,33.0,80.20000000000002,125.60000000000002,125.60000000000002,125.60000000000002,125.60000000000002,125.60000000000002,0.0,0.0,125.60000000000002,125.60000000000002,169.56000000000003,18.1,0.413,-0.02100000000000002,1.1819266455835362,12.058125,36.691874999999996,0.9833333333333333,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
SEQ_EV-01_LEAD_06H,EV-01,SK-2024-NH10-KM48,Sikkim,Pakyong,TEST,1,6.0,2024-10-04T00:00:00,40,2024-09-28T16:00:00,1,1,1,1,0.0,0.0,0.6,25.400000000000002,79.0,125.60000000000002,125.60000000000002,125.60000000000002,125.60000000000002,125.60000000000002,0.0,0.0,125.60000000000002,125.60000000000002,169.56000000000003,17.5,0.412,-0.02300000000000002,1.1828533156998335,12.028928571428573,36.72107142857143,0.9809523809523809,0,0.0,300.0,34.5,135.0,1450.0,-0.02,0.42,0.82,,,,,,,,,
