control_id,sample_id,timestamp,latitude,longitude,state,district,sector_id,control_reason,source,verification_status,split_partition,slope,aspect,elevation,curvature,historical_susceptibility
CTRL-01,CTRL-01,2023-01-15T12:00:00+00:00,27.33,88.61,Sikkim,Pakyong,SK-NH10-KM48,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,42.0,195.0,890.0,-0.06,0.88
CTRL-02,CTRL-02,2023-02-10T12:00:00+00:00,27.502,88.528,Sikkim,Mangan,SK-MANGAN-01,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,44.5,210.0,1250.0,-0.08,0.92
CTRL-03,CTRL-03,2023-03-05T12:00:00+00:00,24.7865,93.6394,Manipur,Noney,MN-NONEY-01,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,41.5,225.0,640.0,-0.07,0.85
CTRL-04,CTRL-04,2023-01-20T12:00:00+00:00,23.7271,92.7176,Mizoram,Aizawl,MZ-AIZAWL-MELTHUM,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,45.0,200.0,920.0,-0.09,0.94
CTRL-05,CTRL-05,2023-02-20T12:00:00+00:00,25.178,93.023,Assam,Dima Hasao,AS-DIMA-HASAO-01,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,40.0,185.0,510.0,-0.06,0.91
CTRL-06,CTRL-06,2023-01-28T12:00:00+00:00,25.297,91.582,Meghalaya,East Khasi Hills,ML-MAWSYNRAM-01,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,46.0,215.0,1400.0,-0.11,0.95
CTRL-07,CTRL-07,2023-03-12T12:00:00+00:00,25.675,94.108,Nagaland,Kohima,NL-KOHIMA-01,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,39.5,190.0,1440.0,-0.05,0.84
CTRL-08,CTRL-08,2023-02-18T12:00:00+00:00,27.586,91.859,Arunachal Pradesh,Tawang,AR-TAWANG-01,dry_season_quiescent,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,TRAIN,43.0,220.0,2800.0,-0.07,0.89
CTRL-09,CTRL-09,2024-05-10T12:00:00+00:00,27.33,88.61,Sikkim,Pakyong,SK-NH10-KM48,moderate_monsoon_stable,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,VAL,42.0,195.0,890.0,-0.06,0.88
CTRL-10,CTRL-10,2024-05-12T12:00:00+00:00,23.7271,92.7176,Mizoram,Aizawl,MZ-AIZAWL-MELTHUM,moderate_monsoon_stable,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,VAL,45.0,200.0,920.0,-0.09,0.94
CTRL-11,CTRL-11,2024-05-20T12:00:00+00:00,24.985,93.49,Manipur,Tamenglong,MN-TAMENG-01,moderate_monsoon_stable,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,VAL,38.0,170.0,1100.0,-0.04,0.82
CTRL-12,CTRL-12,2024-06-02T12:00:00+00:00,24.833,92.778,Assam,Cachar,AS-CACHAR-01,moderate_monsoon_stable,IMD Gridded / SDMA Regional Records / Verified Non-Event Window,VERIFIED_NON_EVENT_CONTROL,VAL,35.0,160.0,180.0,-0.03,0.8
