event_id,disaster_id,event_time,prediction_origin_primary,latitude,longitude,state,district,sector_id,source,source_reference,rainfall_trigger_mm,verification_status,split_partition
EV-01,SK-2024-NH10-KM48,2024-10-04T06:00:00+00:00,2024-10-03T06:00:00+00:00,27.33,88.61,Sikkim,Pakyong,SK-NH10-KM48,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,185.0,VERIFIED_HISTORICAL_DISASTER,TEST
EV-02,SK-2024-MANGAN,2024-06-12T14:00:00+00:00,2024-06-11T14:00:00+00:00,27.502,88.528,Sikkim,Mangan,SK-MANGAN-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,210.0,VERIFIED_HISTORICAL_DISASTER,VAL
EV-03,SK-2023-SINGTAM,2023-10-04T01:30:00+00:00,2023-10-03T01:30:00+00:00,27.234,88.498,Sikkim,Gangtok,SK-SINGTAM-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,140.0,VERIFIED_HISTORICAL_DISASTER,TRAIN
EV-04,MN-2022-NONEY,2022-06-29T23:30:00+00:00,2022-06-28T23:30:00+00:00,24.7865,93.6394,Manipur,Noney,MN-NONEY-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,180.0,VERIFIED_HISTORICAL_DISASTER,TRAIN
EV-05,MN-2024-TAMENGLONG,2024-07-02T08:00:00+00:00,2024-07-01T08:00:00+00:00,24.985,93.49,Manipur,Tamenglong,MN-TAMENG-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,165.0,VERIFIED_HISTORICAL_DISASTER,VAL
EV-06,MZ-2024-MELTHUM,2024-05-28T05:30:00+00:00,2024-05-27T05:30:00+00:00,23.7271,92.7176,Mizoram,Aizawl,MZ-AIZAWL-MELTHUM,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,205.0,VERIFIED_HISTORICAL_DISASTER,VAL
EV-07,MZ-2023-LUNGLEI,2023-08-22T11:00:00+00:00,2023-08-21T11:00:00+00:00,22.887,92.74,Mizoram,Lunglei,MZ-LUNGLEI-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,150.0,VERIFIED_HISTORICAL_DISASTER,TRAIN
EV-08,AS-2022-DIMA-HASAO,2022-05-16T09:00:00+00:00,2022-05-15T09:00:00+00:00,25.178,93.023,Assam,Dima Hasao,AS-DIMA-HASAO-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,230.0,VERIFIED_HISTORICAL_DISASTER,TRAIN
EV-09,AS-2024-CACHAR,2024-06-18T16:00:00+00:00,2024-06-17T16:00:00+00:00,24.833,92.778,Assam,Cachar,AS-CACHAR-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,170.0,VERIFIED_HISTORICAL_DISASTER,VAL
EV-10,ML-2022-MAWSYNRAM,2022-06-17T12:00:00+00:00,2022-06-16T12:00:00+00:00,25.297,91.582,Meghalaya,East Khasi Hills,ML-MAWSYNRAM-01,Geological Survey of India (GSI) BHUKOSH / SDMA,GSI National Landslide Compendium / Disaster Incident Database,350.0,VERIFIED_HISTORICAL_DISASTER,TRAIN
