sequence_id,event_id,sample_id,sector_id,state,district,latitude,longitude,forecast_origin,step_index,hours_to_origin,timestamp,split_partition,is_event_sample,lead_time_hours,target_6h,target_12h,target_24h,target_48h,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,antecedent_rain_3d,antecedent_rain_7d,api_30d,rain_intensity,fos,soil_moisture,soil_porosity,pore_pressure,effective_stress,hydraulic_saturation,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,slope,aspect,elevation,curvature,ndvi,ndvi_anomaly,insar_velocity,seismic_count_24h,max_magnitude_24h,nearest_seismic_distance,historical_susceptibility
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,0,-71,2024-09-29T07:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.6,1.6,106.60000000000001,170.60000000000002,170.60000000000002,221.3,131.35333284918264,0.0,0.826659856924167,0.393,0.42,11.802872816142798,20.404576805270175,0.9357142857142858,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,1,-70,2024-09-29T08:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.6000000000000001,1.5,102.20000000000002,167.0,167.0,221.3,131.35333284918264,0.0,0.8294891766273363,0.391,0.42,11.673879670611182,20.475815105673217,0.930952380952381,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,2,-69,2024-09-29T09:00:00+00:00,TEST,1,48,0,0,0,1,0.1,0.1,0.1,0.6,1.6,98.4,165.3,165.3,221.4,131.43733284918264,0.1,0.8323184963305055,0.389,0.42,11.544886525079567,20.547053406076266,0.9261904761904762,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,3,-68,2024-09-29T10:00:00+00:00,TEST,1,48,0,0,0,1,0.1,0.2,0.2,0.4,1.6,95.2,162.60000000000002,162.60000000000002,221.5,131.52133284918264,0.1,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,4,-67,2024-09-29T11:00:00+00:00,TEST,1,48,0,0,0,1,0.1,0.30000000000000004,0.30000000000000004,0.4,1.4000000000000001,91.30000000000001,160.70000000000002,160.70000000000002,221.60000000000002,131.60533284918264,0.1,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,5,-66,2024-09-29T12:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.2,0.30000000000000004,0.30000000000000004,1.1,86.7,158.70000000000002,158.70000000000002,221.6,131.60533284918264,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,6,-65,2024-09-29T13:00:00+00:00,TEST,1,48,0,0,0,1,0.2,0.30000000000000004,0.5,0.5,1.3000000000000003,84.2,156.10000000000002,156.10000000000002,221.8,131.77333284918262,0.2,0.8323184963305055,0.389,0.42,11.544886525079567,20.547053406076266,0.9261904761904762,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,7,-64,2024-09-29T14:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.2,0.5,0.5,1.3000000000000003,82.5,154.5,154.5,221.8,131.77333284918262,0.0,0.8323184963305055,0.389,0.42,11.544886525079567,20.547053406076266,0.9261904761904762,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,8,-63,2024-09-29T15:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.2,0.4,0.5,1.3000000000000003,81.5,153.6,153.6,221.8,131.77333284918262,0.0,0.8323184963305055,0.389,0.42,11.544886525079567,20.547053406076266,0.9261904761904762,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,9,-62,2024-09-29T16:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.30000000000000004,0.5,1.3,80.3,152.4,152.4,221.8,131.77333284918262,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,10,-61,2024-09-29T17:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.2,0.5,1.2000000000000002,74.1,149.8,149.8,221.8,131.77333284918262,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,11,-60,2024-09-29T18:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.2,0.5,1.1,67.2,145.8,145.8,221.8,131.77333284918262,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,12,-59,2024-09-29T19:00:00+00:00,TEST,1,48,0,0,0,1,0.1,0.1,0.1,0.6,1.2000000000000002,60.400000000000006,141.10000000000002,141.10000000000002,221.9,131.85733284918263,0.1,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,13,-58,2024-09-29T20:00:00+00:00,TEST,1,48,0,0,0,1,0.1,0.2,0.2,0.7,1.3,56.1,137.5,137.5,222.00000000000003,131.94133284918263,0.1,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,14,-57,2024-09-29T21:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.2,0.2,0.6,1.2000000000000002,55.4,134.20000000000002,134.20000000000002,222.00000000000003,131.94133284918263,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,15,-56,2024-09-29T22:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.1,0.2,0.5,0.9,55.0,129.9,129.9,222.0,131.94133284918263,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,16,-55,2024-09-29T23:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.2,0.4,0.8,54.599999999999994,127.10000000000002,127.10000000000002,222.0,131.94133284918263,0.0,0.8337331561820901,0.388,0.42,11.48038995231376,20.582672556277792,0.9238095238095239,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,17,-54,2024-09-30T00:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.2,0.4,0.7,53.6,123.4,123.4,222.00000000000003,110.83071959331343,0.0,0.8351478160336747,0.387,0.42,11.415893379547953,20.618291706479315,0.9214285714285715,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,18,-53,2024-09-30T01:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.1,0.2,0.7000000000000001,50.9,120.9,120.9,222.00000000000003,110.83071959331343,0.0,0.8351478160336747,0.387,0.42,11.415893379547953,20.618291706479315,0.9214285714285715,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,19,-52,2024-09-30T02:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.2,0.7,44.5,119.30000000000001,119.30000000000001,222.00000000000003,110.83071959331343,0.0,0.8365624758852592,0.386,0.42,11.351396806782144,20.653910856680838,0.9190476190476191,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,20,-51,2024-09-30T03:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.2,0.7000000000000001,34.5,117.70000000000002,117.70000000000002,222.00000000000003,110.83071959331343,0.0,0.8393917955884282,0.384,0.42,11.22240366125053,20.725149157083887,0.9142857142857144,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,21,-50,2024-09-30T04:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.2,0.7,26.9,116.20000000000002,116.20000000000002,222.00000000000003,110.83071959331343,0.0,0.8422211152915976,0.382,0.42,11.093410515718917,20.796387457486933,0.9095238095238096,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,22,-49,2024-09-30T05:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.2,0.7000000000000001,14.600000000000001,114.4,114.4,222.0,110.83071959331343,0.0,0.8464650948463514,0.379,0.42,10.89992079742149,20.90324490809151,0.9023809523809524,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
SEQ_HIST_EV-01_Tminus48h,EV-01,EV-01_T48h,SK-NH10-KM48,Sikkim,Pakyong,27.33,88.61,2024-10-02T06:00:00+00:00,23,-48,2024-09-30T06:00:00+00:00,TEST,1,48,0,0,0,1,0.0,0.0,0.0,0.2,0.7,4.7,111.5,111.5,222.0,110.83071959331343,0.0,0.8492944145495205,0.377,0.42,10.770927651889876,20.974483208494554,0.8976190476190476,,,,,42.0,195.0,890.0,-0.06,,,,0,0.0,999.0,0.88
