sequence_id,event_id,sector_id,corridor_id,state,district,latitude,longitude,start_time,end_time,forecast_origin,prediction_time,temporal_span_hours,present_timesteps,missing_timesteps,coverage_ratio,sequence_type,is_event_sample,target_6h,target_12h,target_24h,target_48h,target_window_start,target_window_end,event_time,label_confidence,data_quality,provenance,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,antecedent_rain_3d,antecedent_rain_7d,api_30d,rain_intensity,fos,soil_moisture,soil_porosity,pore_pressure,effective_stress,hydraulic_saturation,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,slope,aspect,elevation,curvature,ndvi,ndvi_anomaly,insar_velocity,seismic_count_24h,max_magnitude_24h,nearest_seismic_distance,historical_susceptibility
SEQ_V4_TRAIN_EV-03-Tminus48h,EV-03,SK-SINGTAM-01,SK-SINGTAM-01,Sikkim,Gangtok,27.234,88.498,2023-09-29T01:30:00+00:00,2023-10-02T01:30:00Z,2023-10-02T01:30:00Z,2023-10-02T01:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-10-02T01:30:00Z,2023-10-04T01:30:00+00:00,2023-10-04T01:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],2.6,5.7,9.5,19.6,28.0,37.8,47.6,40.5,59.5,,2.6,0.976,0.377,,11.9,,,0.58,,5.2,,39.0,180.0,420.0,-0.05,0.52,-0.007,,0.0,0.0,999.0,0.9
SEQ_V4_TRAIN_EV-03-Tminus36h,EV-03,SK-SINGTAM-01,SK-SINGTAM-01,Sikkim,Gangtok,27.234,88.498,2023-09-29T13:30:00+00:00,2023-10-02T13:30:00Z,2023-10-02T13:30:00Z,2023-10-02T13:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-10-02T13:30:00Z,2023-10-04T13:30:00+00:00,2023-10-04T01:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],4.3,9.5,15.8,34.3,49.0,66.2,83.3,70.8,104.1,,4.3,0.876,0.435,,17.0,,,0.97,,9.75,,39.0,180.0,420.0,-0.05,0.52,-0.01,,0.0,0.0,999.0,0.9
SEQ_V4_TRAIN_EV-03-Tminus24h,EV-03,SK-SINGTAM-01,SK-SINGTAM-01,Sikkim,Gangtok,27.234,88.498,2023-09-30T01:30:00+00:00,2023-10-03T01:30:00Z,2023-10-03T01:30:00Z,2023-10-03T01:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,1,1,2023-10-03T01:30:00Z,2023-10-05T01:30:00+00:00,2023-10-04T01:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],7.7,17.0,28.4,58.8,84.0,113.4,142.8,121.4,178.5,,7.7,0.743,0.493,,23.8,,,1.75,,19.5,,39.0,180.0,420.0,-0.05,0.52,-0.015,,0.0,0.0,999.0,0.9
SEQ_V4_TRAIN_EV-03-Tminus12h,EV-03,SK-SINGTAM-01,SK-SINGTAM-01,Sikkim,Gangtok,27.234,88.498,2023-09-30T13:30:00+00:00,2023-10-03T13:30:00Z,2023-10-03T13:30:00Z,2023-10-03T13:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,1,1,1,2023-10-03T13:30:00Z,2023-10-05T13:30:00+00:00,2023-10-04T01:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],12.7,28.3,47.2,83.3,119.0,160.7,202.3,172.0,252.9,,12.7,0.623,0.551,,29.92,,,2.92,,39.0,,39.0,180.0,420.0,-0.05,0.52,-0.03,,0.0,0.0,999.0,0.9
SEQ_V4_TRAIN_EV-03-Tminus6h,EV-03,SK-SINGTAM-01,SK-SINGTAM-01,Sikkim,Gangtok,27.234,88.498,2023-09-30T19:30:00+00:00,2023-10-03T19:30:00Z,2023-10-03T19:30:00Z,2023-10-03T19:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,1,1,1,1,2023-10-03T19:30:00Z,2023-10-05T19:30:00+00:00,2023-10-04T01:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],17.0,37.8,63.0,98.0,140.0,189.0,238.0,202.3,297.5,,17.0,0.543,0.58,,34.0,,,3.7,,55.25,,39.0,180.0,420.0,-0.05,0.52,-0.06,,0.0,0.0,999.0,0.9
SEQ_V4_TRAIN_EV-04-Tminus48h,EV-04,MN-NONEY-01,MN-NONEY-01,Manipur,Noney,24.7865,93.6394,2022-06-24T23:30:00+00:00,2022-06-27T23:30:00Z,2022-06-27T23:30:00Z,2022-06-27T23:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2022-06-27T23:30:00Z,2022-06-29T23:30:00+00:00,2022-06-29T23:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],3.3,7.3,12.1,25.2,36.0,48.6,61.2,52.0,76.5,,3.3,0.967,0.338,,9.24,,,0.58,,3.4,,41.5,225.0,640.0,-0.07,0.52,-0.007,,0.0,0.0,999.0,0.85
SEQ_V4_TRAIN_EV-04-Tminus36h,EV-04,MN-NONEY-01,MN-NONEY-01,Manipur,Noney,24.7865,93.6394,2022-06-25T11:30:00+00:00,2022-06-28T11:30:00Z,2022-06-28T11:30:00Z,2022-06-28T11:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2022-06-28T11:30:00Z,2022-06-30T11:30:00+00:00,2022-06-29T23:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],5.4,12.1,20.2,44.1,63.0,85.1,107.1,91.0,133.9,,5.4,0.891,0.39,,13.2,,,0.96,,6.38,,41.5,225.0,640.0,-0.07,0.52,-0.01,,0.0,0.0,999.0,0.85
SEQ_V4_TRAIN_EV-04-Tminus24h,EV-04,MN-NONEY-01,MN-NONEY-01,Manipur,Noney,24.7865,93.6394,2022-06-25T23:30:00+00:00,2022-06-28T23:30:00Z,2022-06-28T23:30:00Z,2022-06-28T23:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,1,1,2022-06-28T23:30:00Z,2022-06-30T23:30:00+00:00,2022-06-29T23:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],9.9,21.9,36.5,75.6,108.0,145.8,183.6,156.1,229.5,,9.9,0.789,0.442,,18.48,,,1.73,,12.75,,41.5,225.0,640.0,-0.07,0.52,-0.015,,0.0,0.0,999.0,0.85
SEQ_V4_TRAIN_EV-04-Tminus12h,EV-04,MN-NONEY-01,MN-NONEY-01,Manipur,Noney,24.7865,93.6394,2022-06-26T11:30:00+00:00,2022-06-29T11:30:00Z,2022-06-29T11:30:00Z,2022-06-29T11:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,1,1,1,2022-06-29T11:30:00Z,2022-07-01T11:30:00+00:00,2022-06-29T23:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],16.4,36.5,60.8,107.1,153.0,206.6,260.1,221.1,325.1,,16.4,0.697,0.494,,23.23,,,2.89,,25.5,,41.5,225.0,640.0,-0.07,0.52,-0.03,,0.0,0.0,999.0,0.85
SEQ_V4_TRAIN_EV-04-Tminus6h,EV-04,MN-NONEY-01,MN-NONEY-01,Manipur,Noney,24.7865,93.6394,2022-06-26T17:30:00+00:00,2022-06-29T17:30:00Z,2022-06-29T17:30:00Z,2022-06-29T17:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,1,1,1,1,2022-06-29T17:30:00Z,2022-07-01T17:30:00+00:00,2022-06-29T23:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],21.9,48.6,81.0,126.0,180.0,243.0,306.0,260.1,382.5,,21.9,0.636,0.52,,26.4,,,3.66,,36.12,,41.5,225.0,640.0,-0.07,0.52,-0.06,,0.0,0.0,999.0,0.85
SEQ_V4_TRAIN_EV-07-Tminus48h,EV-07,MZ-LUNGLEI-01,MZ-LUNGLEI-01,Mizoram,Lunglei,22.887,92.74,2023-08-17T11:00:00+00:00,2023-08-20T11:00:00Z,2023-08-20T11:00:00Z,2023-08-20T11:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-08-20T11:00:00Z,2023-08-22T11:00:00+00:00,2023-08-22T11:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],2.7,6.1,10.1,21.0,30.0,40.5,51.0,43.4,63.8,,2.7,1.13,0.312,,7.7,,,0.43,,2.24,,36.5,190.0,720.0,-0.03,0.52,-0.007,,0.0,0.0,999.0,0.78
SEQ_V4_TRAIN_EV-07-Tminus36h,EV-07,MZ-LUNGLEI-01,MZ-LUNGLEI-01,Mizoram,Lunglei,22.887,92.74,2023-08-17T23:00:00+00:00,2023-08-20T23:00:00Z,2023-08-20T23:00:00Z,2023-08-20T23:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-08-20T23:00:00Z,2023-08-22T23:00:00+00:00,2023-08-22T11:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],4.5,10.1,16.9,36.8,52.5,70.9,89.2,75.8,111.5,,4.5,1.063,0.36,,11.0,,,0.72,,4.2,,36.5,190.0,720.0,-0.03,0.52,-0.01,,0.0,0.0,999.0,0.78
SEQ_V4_TRAIN_EV-07-Tminus24h,EV-07,MZ-LUNGLEI-01,MZ-LUNGLEI-01,Mizoram,Lunglei,22.887,92.74,2023-08-18T11:00:00+00:00,2023-08-21T11:00:00Z,2023-08-21T11:00:00Z,2023-08-21T11:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,1,1,2023-08-21T11:00:00Z,2023-08-23T11:00:00+00:00,2023-08-22T11:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],8.2,18.2,30.4,63.0,90.0,121.5,153.0,130.0,191.2,,8.2,0.975,0.408,,15.4,,,1.3,,8.4,,36.5,190.0,720.0,-0.03,0.52,-0.015,,0.0,0.0,999.0,0.78
SEQ_V4_TRAIN_EV-07-Tminus12h,EV-07,MZ-LUNGLEI-01,MZ-LUNGLEI-01,Mizoram,Lunglei,22.887,92.74,2023-08-18T23:00:00+00:00,2023-08-21T23:00:00Z,2023-08-21T23:00:00Z,2023-08-21T23:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,1,1,1,2023-08-21T23:00:00Z,2023-08-23T23:00:00+00:00,2023-08-22T11:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],13.7,30.4,50.6,89.2,127.5,172.1,216.8,184.3,271.0,,13.7,0.896,0.456,,19.36,,,2.17,,16.8,,36.5,190.0,720.0,-0.03,0.52,-0.03,,0.0,0.0,999.0,0.78
SEQ_V4_TRAIN_EV-07-Tminus6h,EV-07,MZ-LUNGLEI-01,MZ-LUNGLEI-01,Mizoram,Lunglei,22.887,92.74,2023-08-19T05:00:00+00:00,2023-08-22T05:00:00Z,2023-08-22T05:00:00Z,2023-08-22T05:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,1,1,1,1,2023-08-22T05:00:00Z,2023-08-24T05:00:00+00:00,2023-08-22T11:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],18.2,40.5,67.5,105.0,150.0,202.5,255.0,216.8,318.8,,18.2,0.843,0.48,,22.0,,,2.75,,23.8,,36.5,190.0,720.0,-0.03,0.52,-0.06,,0.0,0.0,999.0,0.78
SEQ_V4_TRAIN_EV-08-Tminus48h,EV-08,AS-DIMA-HASAO-01,AS-DIMA-HASAO-01,Assam,Dima Hasao,25.178,93.023,2022-05-11T09:00:00+00:00,2022-05-14T09:00:00Z,2022-05-14T09:00:00Z,2022-05-14T09:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2022-05-14T09:00:00Z,2022-05-16T09:00:00+00:00,2022-05-16T09:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],4.2,9.3,15.5,32.2,46.0,62.1,78.2,66.5,97.8,,4.2,0.965,0.37,,11.2,,,0.7,,4.64,,40.0,185.0,510.0,-0.06,0.52,-0.007,,0.0,0.0,999.0,0.91
SEQ_V4_TRAIN_EV-08-Tminus36h,EV-08,AS-DIMA-HASAO-01,AS-DIMA-HASAO-01,Assam,Dima Hasao,25.178,93.023,2022-05-11T21:00:00+00:00,2022-05-14T21:00:00Z,2022-05-14T21:00:00Z,2022-05-14T21:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2022-05-14T21:00:00Z,2022-05-16T21:00:00+00:00,2022-05-16T09:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],7.0,15.5,25.9,56.3,80.5,108.7,136.8,116.3,171.0,,7.0,0.871,0.427,,16.0,,,1.18,,8.7,,40.0,185.0,510.0,-0.06,0.52,-0.01,,0.0,0.0,999.0,0.91
SEQ_V4_TRAIN_EV-08-Tminus24h,EV-08,AS-DIMA-HASAO-01,AS-DIMA-HASAO-01,Assam,Dima Hasao,25.178,93.023,2022-05-12T09:00:00+00:00,2022-05-15T09:00:00Z,2022-05-15T09:00:00Z,2022-05-15T09:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,1,1,2022-05-15T09:00:00Z,2022-05-17T09:00:00+00:00,2022-05-16T09:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],12.6,28.0,46.6,96.6,138.0,186.3,234.6,199.4,293.2,,12.6,0.747,0.484,,22.4,,,2.12,,17.4,,40.0,185.0,510.0,-0.06,0.52,-0.015,,0.0,0.0,999.0,0.91
SEQ_V4_TRAIN_EV-08-Tminus12h,EV-08,AS-DIMA-HASAO-01,AS-DIMA-HASAO-01,Assam,Dima Hasao,25.178,93.023,2022-05-12T21:00:00+00:00,2022-05-15T21:00:00Z,2022-05-15T21:00:00Z,2022-05-15T21:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,1,1,1,2022-05-15T21:00:00Z,2022-05-17T21:00:00+00:00,2022-05-16T09:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],21.0,46.6,77.6,136.8,195.5,263.9,332.3,282.5,415.4,,21.0,0.635,0.541,,28.16,,,3.53,,34.8,,40.0,185.0,510.0,-0.06,0.52,-0.03,,0.0,0.0,999.0,0.91
SEQ_V4_TRAIN_EV-08-Tminus6h,EV-08,AS-DIMA-HASAO-01,AS-DIMA-HASAO-01,Assam,Dima Hasao,25.178,93.023,2022-05-13T03:00:00+00:00,2022-05-16T03:00:00Z,2022-05-16T03:00:00Z,2022-05-16T03:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,1,1,1,1,2022-05-16T03:00:00Z,2022-05-18T03:00:00+00:00,2022-05-16T09:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],27.9,62.1,103.5,161.0,230.0,310.5,391.0,332.3,488.8,,27.9,0.56,0.57,,32.0,,,4.46,,49.3,,40.0,185.0,510.0,-0.06,0.52,-0.06,,0.0,0.0,999.0,0.91
SEQ_V4_TRAIN_EV-10-Tminus48h,EV-10,ML-MAWSYNRAM-01,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,25.297,91.582,2022-06-12T12:00:00+00:00,2022-06-15T12:00:00Z,2022-06-15T12:00:00Z,2022-06-15T12:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2022-06-15T12:00:00Z,2022-06-17T12:00:00+00:00,2022-06-17T12:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],6.4,14.2,23.6,49.0,70.0,94.5,119.0,101.1,148.8,,6.4,0.799,0.39,,13.3,,,0.73,,4.96,,46.0,215.0,1400.0,-0.11,0.52,-0.007,,0.0,0.0,999.0,0.95
SEQ_V4_TRAIN_EV-10-Tminus36h,EV-10,ML-MAWSYNRAM-01,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,25.297,91.582,2022-06-13T00:00:00+00:00,2022-06-16T00:00:00Z,2022-06-16T00:00:00Z,2022-06-16T00:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2022-06-16T00:00:00Z,2022-06-18T00:00:00+00:00,2022-06-17T12:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],10.6,23.6,39.4,85.8,122.5,165.4,208.2,177.0,260.2,,10.6,0.69,0.45,,19.0,,,1.23,,9.3,,46.0,215.0,1400.0,-0.11,0.52,-0.01,,0.0,0.0,999.0,0.95
SEQ_V4_TRAIN_EV-10-Tminus24h,EV-10,ML-MAWSYNRAM-01,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,25.297,91.582,2022-06-13T12:00:00+00:00,2022-06-16T12:00:00Z,2022-06-16T12:00:00Z,2022-06-16T12:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,1,1,2022-06-16T12:00:00Z,2022-06-18T12:00:00+00:00,2022-06-17T12:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],19.1,42.5,70.9,147.0,210.0,283.5,357.0,303.4,446.2,,19.1,0.544,0.51,,26.6,,,2.21,,18.6,,46.0,215.0,1400.0,-0.11,0.52,-0.015,,0.0,0.0,999.0,0.95
SEQ_V4_TRAIN_EV-10-Tminus12h,EV-10,ML-MAWSYNRAM-01,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,25.297,91.582,2022-06-14T00:00:00+00:00,2022-06-17T00:00:00Z,2022-06-17T00:00:00Z,2022-06-17T00:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,1,1,1,2022-06-17T00:00:00Z,2022-06-19T00:00:00+00:00,2022-06-17T12:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],31.9,70.9,118.1,208.2,297.5,401.6,505.8,429.9,632.2,,31.9,0.413,0.57,,33.44,,,3.68,,37.2,,46.0,215.0,1400.0,-0.11,0.52,-0.03,,0.0,0.0,999.0,0.95
SEQ_V4_TRAIN_EV-10-Tminus6h,EV-10,ML-MAWSYNRAM-01,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,25.297,91.582,2022-06-14T06:00:00+00:00,2022-06-17T06:00:00Z,2022-06-17T06:00:00Z,2022-06-17T06:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,1,1,1,1,2022-06-17T06:00:00Z,2022-06-19T06:00:00+00:00,2022-06-17T12:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],42.5,94.5,157.5,245.0,350.0,472.5,595.0,505.8,743.8,,42.5,0.326,0.6,,38.0,,,4.66,,52.7,,46.0,215.0,1400.0,-0.11,0.52,-0.06,,0.0,0.0,999.0,0.95
SEQ_V4_TRAIN_EV-13-Tminus48h,EV-13,NL-PHEK-01,NL-PHEK-01,Nagaland,Phek,25.68,94.49,2023-07-23T15:00:00+00:00,2023-07-26T15:00:00Z,2023-07-26T15:00:00Z,2023-07-26T15:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-07-26T15:00:00Z,2023-07-28T15:00:00+00:00,2023-07-28T15:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],2.7,5.9,9.8,20.3,29.0,39.2,49.3,41.9,61.6,,2.7,1.152,0.305,,7.35,,,0.41,,2.08,,36.0,200.0,1350.0,-0.03,0.52,-0.007,,0.0,0.0,999.0,0.76
SEQ_V4_TRAIN_EV-13-Tminus36h,EV-13,NL-PHEK-01,NL-PHEK-01,Nagaland,Phek,25.68,94.49,2023-07-24T03:00:00+00:00,2023-07-27T03:00:00Z,2023-07-27T03:00:00Z,2023-07-27T03:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-07-27T03:00:00Z,2023-07-29T03:00:00+00:00,2023-07-28T15:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],4.4,9.8,16.3,35.6,50.8,68.6,86.4,73.4,108.0,,4.4,1.089,0.352,,10.5,,,0.68,,3.9,,36.0,200.0,1350.0,-0.03,0.52,-0.01,,0.0,0.0,999.0,0.76
SEQ_V4_TRAIN_EV-13-Tminus24h,EV-13,NL-PHEK-01,NL-PHEK-01,Nagaland,Phek,25.68,94.49,2023-07-24T15:00:00+00:00,2023-07-27T15:00:00Z,2023-07-27T15:00:00Z,2023-07-27T15:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,1,1,2023-07-27T15:00:00Z,2023-07-29T15:00:00+00:00,2023-07-28T15:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],7.9,17.6,29.4,60.9,87.0,117.5,147.9,125.7,184.9,,7.9,1.004,0.399,,14.7,,,1.22,,7.8,,36.0,200.0,1350.0,-0.03,0.52,-0.015,,0.0,0.0,999.0,0.76
SEQ_V4_TRAIN_EV-13-Tminus12h,EV-13,NL-PHEK-01,NL-PHEK-01,Nagaland,Phek,25.68,94.49,2023-07-25T03:00:00+00:00,2023-07-28T03:00:00Z,2023-07-28T03:00:00Z,2023-07-28T03:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,1,1,1,2023-07-28T03:00:00Z,2023-07-30T03:00:00+00:00,2023-07-28T15:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],13.2,29.3,48.9,86.2,123.2,166.3,209.4,178.0,261.8,,13.2,0.928,0.446,,18.48,,,2.03,,15.6,,36.0,200.0,1350.0,-0.03,0.52,-0.03,,0.0,0.0,999.0,0.76
SEQ_V4_TRAIN_EV-13-Tminus6h,EV-13,NL-PHEK-01,NL-PHEK-01,Nagaland,Phek,25.68,94.49,2023-07-25T09:00:00+00:00,2023-07-28T09:00:00Z,2023-07-28T09:00:00Z,2023-07-28T09:00:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,1,1,1,1,2023-07-28T09:00:00Z,2023-07-30T09:00:00+00:00,2023-07-28T15:00:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],17.6,39.1,65.2,101.5,145.0,195.8,246.5,209.5,308.1,,17.6,0.877,0.47,,21.0,,,2.56,,22.1,,36.0,200.0,1350.0,-0.03,0.52,-0.06,,0.0,0.0,999.0,0.76
SEQ_V4_TRAIN_EV-15-Tminus48h,EV-15,AR-ITANAGAR-01,AR-ITANAGAR-01,Arunachal Pradesh,Papum Pare,27.084,93.605,2023-06-15T09:30:00+00:00,2023-06-18T09:30:00Z,2023-06-18T09:30:00Z,2023-06-18T09:30:00Z,72.0,6,66,0.083,HISTORICAL_DISCRETE_OBSERVATIONS,1,0,0,0,1,2023-06-18T09:30:00Z,2023-06-20T09:30:00+00:00,2023-06-20T09:30:00Z,HIGH,DOCUMENTED_HISTORICAL_GSI,[HISTORICAL],2.8,6.3,10.5,21.7,31.0,41.9,52.7,44.8,65.9,,2.8,1.158,0.312,,7.87,,,0.42,,2.32,,35.5,170.0,450.0,-0.03,0.52,-0.007,,0.0,0.0,999.0,0.77
