sample_id,event_id,sector_id,state,district,timestamp,latitude,longitude,event_date,lead_time_to_event_hours,is_event_sample,target_6h,target_12h,target_24h,target_48h,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,antecedent_rain_3d,antecedent_rain_7d,rain_intensity,rainfall_threshold_exceedance,fos,slope,aspect,elevation,curvature,soil_moisture,pore_pressure,tilt,ground_displacement,ndvi,ndvi_anomaly,seismic_count_24h,max_magnitude_24h,nearest_seismic_distance,historical_susceptibility,source,provenance,control_reason,distance_from_event_km,time_from_event_days
EV-01-Tminus48h,EV-01,SK-NH10-KM48,Sikkim,Pakyong,2024-10-02T06:00:00Z,27.33,88.61,2024-10-04T06:00:00Z,48.0,1,0,0,0,1,3.4,7.5,12.5,25.9,37.0,50.0,62.9,53.5,78.6,3.4,0,0.944,42.0,195.0,890.0,-0.06,0.351,9.87,0.61,3.84,0.52,-0.007,0,0.0,999.0,0.88,GSI Pakyong Field Inspection,[HISTORICAL],none_event_antecedent_window,,
EV-01-Tminus36h,EV-01,SK-NH10-KM48,Sikkim,Pakyong,2024-10-02T18:00:00Z,27.33,88.61,2024-10-04T06:00:00Z,36.0,1,0,0,0,1,5.6,12.5,20.8,45.4,64.8,87.5,110.2,93.7,137.8,5.6,0,0.862,42.0,195.0,890.0,-0.06,0.405,14.1,1.02,7.2,0.52,-0.01,0,0.0,999.0,0.88,GSI Pakyong Field Inspection,[HISTORICAL],none_event_antecedent_window,,
EV-01-Tminus24h,EV-01,SK-NH10-KM48,Sikkim,Pakyong,2024-10-03T06:00:00Z,27.33,88.61,2024-10-04T06:00:00Z,24.0,1,0,0,1,1,10.1,22.5,37.5,77.7,111.0,149.9,188.7,160.4,235.9,10.1,0,0.754,42.0,195.0,890.0,-0.06,0.459,19.74,1.84,14.4,0.52,-0.015,0,0.0,999.0,0.88,GSI Pakyong Field Inspection,[HISTORICAL],none_event_antecedent_window,,
EV-01-Tminus12h,EV-01,SK-NH10-KM48,Sikkim,Pakyong,2024-10-03T18:00:00Z,27.33,88.61,2024-10-04T06:00:00Z,12.0,1,0,1,1,1,16.8,37.4,62.4,110.0,157.2,212.2,267.2,227.1,334.0,16.8,1,0.656,42.0,195.0,890.0,-0.06,0.513,24.82,3.07,28.8,0.52,-0.03,0,0.0,999.0,0.88,GSI Pakyong Field Inspection,[HISTORICAL],none_event_antecedent_window,,
EV-01-Tminus6h,EV-01,SK-NH10-KM48,Sikkim,Pakyong,2024-10-04T00:00:00Z,27.33,88.61,2024-10-04T06:00:00Z,6.0,1,1,1,1,1,22.5,49.9,83.2,129.5,185.0,249.8,314.5,267.3,393.1,22.5,1,0.591,42.0,195.0,890.0,-0.06,0.54,28.2,3.89,40.8,0.52,-0.06,0,0.0,999.0,0.88,GSI Pakyong Field Inspection,[HISTORICAL],none_event_antecedent_window,,
EV-02-Tminus48h,EV-02,SK-MANGAN-01,Sikkim,Mangan,2024-06-10T14:00:00Z,27.502,88.528,2024-06-12T14:00:00Z,48.0,1,0,0,0,1,3.8,8.5,14.2,29.4,42.0,56.7,71.4,60.7,89.2,3.8,0,0.871,44.5,210.0,1250.0,-0.08,0.364,11.02,0.72,4.32,0.52,-0.007,0,0.0,999.0,0.92,ISRO DMSG / Sikkim SDMA,[HISTORICAL],none_event_antecedent_window,,
EV-02-Tminus36h,EV-02,SK-MANGAN-01,Sikkim,Mangan,2024-06-11T02:00:00Z,27.502,88.528,2024-06-12T14:00:00Z,36.0,1,0,0,0,1,6.4,14.2,23.6,51.4,73.5,99.2,125.0,106.2,156.2,6.4,0,0.78,44.5,210.0,1250.0,-0.08,0.42,15.75,1.2,8.1,0.52,-0.01,0,0.0,999.0,0.92,ISRO DMSG / Sikkim SDMA,[HISTORICAL],none_event_antecedent_window,,
EV-02-Tminus24h,EV-02,SK-MANGAN-01,Sikkim,Mangan,2024-06-11T14:00:00Z,27.502,88.528,2024-06-12T14:00:00Z,24.0,1,0,0,1,1,11.5,25.5,42.5,88.2,126.0,170.1,214.2,182.1,267.8,11.5,0,0.659,44.5,210.0,1250.0,-0.08,0.476,22.05,2.16,16.2,0.52,-0.015,0,0.0,999.0,0.92,ISRO DMSG / Sikkim SDMA,[HISTORICAL],none_event_antecedent_window,,
EV-02-Tminus12h,EV-02,SK-MANGAN-01,Sikkim,Mangan,2024-06-12T02:00:00Z,27.502,88.528,2024-06-12T14:00:00Z,12.0,1,0,1,1,1,19.1,42.5,70.9,124.9,178.5,241.0,303.4,257.9,379.2,19.1,1,0.55,44.5,210.0,1250.0,-0.08,0.532,27.72,3.6,32.4,0.52,-0.03,0,0.0,999.0,0.92,ISRO DMSG / Sikkim SDMA,[HISTORICAL],none_event_antecedent_window,,
EV-02-Tminus6h,EV-02,SK-MANGAN-01,Sikkim,Mangan,2024-06-12T08:00:00Z,27.502,88.528,2024-06-12T14:00:00Z,6.0,1,1,1,1,1,25.5,56.7,94.5,147.0,210.0,283.5,357.0,303.4,446.2,25.5,1,0.478,44.5,210.0,1250.0,-0.08,0.56,31.5,4.56,45.9,0.52,-0.06,0,0.0,999.0,0.92,ISRO DMSG / Sikkim SDMA,[HISTORICAL],none_event_antecedent_window,,
