sample_id,event_id,sector_id,state,district,timestamp,latitude,longitude,event_date,lead_time_to_event_hours,is_event_sample,target_6h,target_12h,target_24h,target_48h,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,antecedent_rain_3d,antecedent_rain_7d,rain_intensity,rainfall_threshold_exceedance,fos,slope,aspect,elevation,curvature,soil_moisture,pore_pressure,tilt,ground_displacement,ndvi,ndvi_anomaly,seismic_count_24h,max_magnitude_24h,nearest_seismic_distance,historical_susceptibility,source,provenance,control_reason,distance_from_event_km,time_from_event_days
EV-08-Tminus48h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-14T09:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,48.0,1,0,0,0,1,4.2,9.3,15.5,32.2,46.0,62.1,78.2,66.5,97.8,4.2,0,0.965,40.0,185.0,510.0,-0.06,0.37,11.2,0.7,4.64,0.52,-0.007,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus36h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-14T21:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,36.0,1,0,0,0,1,7.0,15.5,25.9,56.3,80.5,108.7,136.8,116.3,171.0,7.0,0,0.871,40.0,185.0,510.0,-0.06,0.427,16.0,1.18,8.7,0.52,-0.01,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus24h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-15T09:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,24.0,1,0,0,1,1,12.6,28.0,46.6,96.6,138.0,186.3,234.6,199.4,293.2,12.6,0,0.747,40.0,185.0,510.0,-0.06,0.484,22.4,2.12,17.4,0.52,-0.015,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus12h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-15T21:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,12.0,1,0,1,1,1,21.0,46.6,77.6,136.8,195.5,263.9,332.3,282.5,415.4,21.0,1,0.635,40.0,185.0,510.0,-0.06,0.541,28.16,3.53,34.8,0.52,-0.03,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-08-Tminus6h,EV-08,AS-DIMA-HASAO-01,Assam,Dima Hasao,2022-05-16T03:00:00Z,25.178,93.023,2022-05-16T09:00:00Z,6.0,1,1,1,1,1,27.9,62.1,103.5,161.0,230.0,310.5,391.0,332.3,488.8,27.9,1,0.56,40.0,185.0,510.0,-0.06,0.57,32.0,4.46,49.3,0.52,-0.06,0,0.0,999.0,0.91,New Haflong Railway Station Breaches GSI Report,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus48h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-15T12:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,48.0,1,0,0,0,1,6.4,14.2,23.6,49.0,70.0,94.5,119.0,101.1,148.8,6.4,0,0.799,46.0,215.0,1400.0,-0.11,0.39,13.3,0.73,4.96,0.52,-0.007,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus36h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-16T00:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,36.0,1,0,0,0,1,10.6,23.6,39.4,85.8,122.5,165.4,208.2,177.0,260.2,10.6,0,0.69,46.0,215.0,1400.0,-0.11,0.45,19.0,1.23,9.3,0.52,-0.01,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus24h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-16T12:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,24.0,1,0,0,1,1,19.1,42.5,70.9,147.0,210.0,283.5,357.0,303.4,446.2,19.1,1,0.544,46.0,215.0,1400.0,-0.11,0.51,26.6,2.21,18.6,0.52,-0.015,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus12h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-17T00:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,12.0,1,0,1,1,1,31.9,70.9,118.1,208.2,297.5,401.6,505.8,429.9,632.2,31.9,1,0.413,46.0,215.0,1400.0,-0.11,0.57,33.44,3.68,37.2,0.52,-0.03,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
EV-10-Tminus6h,EV-10,ML-MAWSYNRAM-01,Meghalaya,East Khasi Hills,2022-06-17T06:00:00Z,25.297,91.582,2022-06-17T12:00:00Z,6.0,1,1,1,1,1,42.5,94.5,157.5,245.0,350.0,472.5,595.0,505.8,743.8,42.5,1,0.326,46.0,215.0,1400.0,-0.11,0.6,38.0,4.66,52.7,0.52,-0.06,0,0.0,999.0,0.95,GSI Shillong Plateau Escarpment Survey,[HISTORICAL],none_event_antecedent_window,,
