event_id,timestamp,latitude,longitude,state,district,sector_id,geographic_group,event_label,rainfall_24h,soil_moisture,pore_pressure_kpa,tilt_deg,ground_displacement_mm,slope_deg,elevation_m,fos,seismic_magnitude,ndvi_anomaly,source,source_confidence,provenance,_prov_rainfall,_prov_soil_moisture,_prov_pore_pressure,_prov_tilt,_prov_displacement,_prov_slope,_prov_elevation,_prov_fos,_prov_seismic,_prov_ndvi
EV-01,2024-10-04T06:00:00Z,27.33,88.61,Sikkim,Pakyong,SK-NH10-KM48,sikkim_teesta_corridor,1,185.0,0.54,28.2,4.1,48.0,42.0,890.0,0.591,,,GSI Pakyong Field Inspection,0.8,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-02,2024-06-12T14:00:00Z,27.502,88.528,Sikkim,Mangan,SK-MANGAN-01,sikkim_north_corridor,1,210.0,0.56,31.5,4.8,54.0,44.5,1250.0,0.478,,,ISRO DMSG / Sikkim SDMA,0.8,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-03,2023-10-04T01:30:00Z,27.234,88.498,Sikkim,Gangtok,SK-SINGTAM-01,sikkim_teesta_corridor,1,140.0,0.58,34.0,3.9,65.0,39.0,420.0,0.543,,,South Lhonak GLOF / GSI Assessment,0.8,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-04,2022-06-29T23:30:00Z,24.7865,93.6394,Manipur,Noney,MN-NONEY-01,manipur_tupul_corridor,1,180.0,0.52,26.4,3.85,42.5,41.5,640.0,0.636,,,GSI Disaster Report GSI-NER-MN-2022-004,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-05,2024-07-02T08:00:00Z,24.985,93.49,Manipur,Tamenglong,MN-TAMENG-01,manipur_west_corridor,1,165.0,0.5,24.0,3.2,36.0,38.0,1100.0,0.764,,,Manipur SDMA Monsoon Bulletin,0.65,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-06,2024-05-28T05:30:00Z,23.7271,92.7176,Mizoram,Aizawl,MZ-AIZAWL-MELTHUM,mizoram_aizawl_basin,1,205.0,0.55,29.8,4.5,52.0,45.0,920.0,0.501,,,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-07,2023-08-22T11:00:00Z,22.887,92.74,Mizoram,Lunglei,MZ-LUNGLEI-01,mizoram_south_corridor,1,150.0,0.48,22.0,2.9,28.0,36.5,720.0,0.843,,,Mizoram PWD / DDMA,0.65,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-08,2022-05-16T09:00:00Z,25.178,93.023,Assam,Dima Hasao,AS-DIMA-HASAO-01,assam_barak_valley,1,230.0,0.57,32.0,4.7,58.0,40.0,510.0,0.56,,,New Haflong Railway Station Breaches GSI Report,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-09,2024-06-18T16:00:00Z,24.833,92.778,Assam,Cachar,AS-CACHAR-01,assam_barak_valley,1,170.0,0.51,25.0,3.4,35.0,35.0,180.0,0.825,,,Assam State Disaster Management Authority (ASDMA),0.8,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-10,2022-06-17T12:00:00Z,25.297,91.582,Meghalaya,East Khasi Hills,ML-MAWSYNRAM-01,meghalaya_plateau_corridor,1,350.0,0.6,38.0,4.9,62.0,46.0,1400.0,0.326,,,GSI Shillong Plateau Escarpment Survey,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
