event_id,timestamp,latitude,longitude,state,district,sector_id,geographic_group,event_label,rainfall_24h,soil_moisture,pore_pressure_kpa,tilt_deg,ground_displacement_mm,slope_deg,elevation_m,fos,seismic_magnitude,ndvi_anomaly,source,source_confidence,provenance,_prov_rainfall,_prov_soil_moisture,_prov_pore_pressure,_prov_tilt,_prov_displacement,_prov_slope,_prov_elevation,_prov_fos,_prov_seismic,_prov_ndvi
EV-08,2022-05-16T09:00:00Z,25.178,93.023,Assam,Dima Hasao,AS-DIMA-HASAO-01,assam_barak_valley,1,230.0,0.57,32.0,4.7,58.0,40.0,510.0,0.56,,,New Haflong Railway Station Breaches GSI Report,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-10,2022-06-17T12:00:00Z,25.297,91.582,Meghalaya,East Khasi Hills,ML-MAWSYNRAM-01,meghalaya_plateau_corridor,1,350.0,0.6,38.0,4.9,62.0,46.0,1400.0,0.326,,,GSI Shillong Plateau Escarpment Survey,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-04,2022-06-29T23:30:00Z,24.7865,93.6394,Manipur,Noney,MN-NONEY-01,manipur_tupul_corridor,1,180.0,0.52,26.4,3.85,42.5,41.5,640.0,0.636,,,GSI Disaster Report GSI-NER-MN-2022-004,0.95,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-15,2023-06-20T09:30:00Z,27.084,93.605,Arunachal Pradesh,Papum Pare,AR-ITANAGAR-01,arunachal_papum_corridor,1,155.0,0.48,22.5,2.8,29.0,35.5,450.0,0.861,,,GSI Itanagar Road Survey,0.8,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-17,2023-07-14T06:00:00Z,24.375,92.165,Tripura,North Tripura,TR-DHARMAN-01,tripura_jampui_hills,1,135.0,0.46,20.0,2.5,24.0,32.0,210.0,1.026,,,GSI NLSM Archive,0.65,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-13,2023-07-28T15:00:00Z,25.68,94.49,Nagaland,Phek,NL-PHEK-01,nagaland_kohima_corridor,1,145.0,0.47,21.0,2.7,26.0,36.0,1350.0,0.877,,,GSI NLSM Archive,0.65,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-07,2023-08-22T11:00:00Z,22.887,92.74,Mizoram,Lunglei,MZ-LUNGLEI-01,mizoram_south_corridor,1,150.0,0.48,22.0,2.9,28.0,36.5,720.0,0.843,,,Mizoram PWD / DDMA,0.65,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
EV-03,2023-10-04T01:30:00Z,27.234,88.498,Sikkim,Gangtok,SK-SINGTAM-01,sikkim_teesta_corridor,1,140.0,0.58,34.0,3.9,65.0,39.0,420.0,0.543,,,South Lhonak GLOF / GSI Assessment,0.8,[HISTORICAL],HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
CTRL-002,2024-01-12T12:00:00Z,27.084,93.605,Arunachal Pradesh,Papum Pare,AR-ITANAGAR-01,arunachal_papum_corridor,0,20.0,0.25,5.0,1.0,2.0,35.5,450.0,1.216,,,Temporal non-event window (dry season monitoring),0.6,[MODELLED],MODELLED,MODELLED,MODELLED,MODELLED,MODELLED,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
CTRL-001,2024-01-22T12:00:00Z,24.833,92.778,Assam,Cachar,AS-CACHAR-01,assam_barak_valley,0,20.0,0.25,5.0,1.0,2.0,35.0,180.0,1.233,,,Temporal non-event window (dry season monitoring),0.6,[MODELLED],MODELLED,MODELLED,MODELLED,MODELLED,MODELLED,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
CTRL-003,2024-01-28T12:00:00Z,23.82,92.27,Tripura,North Tripura,TR-JAMPUI-01,tripura_jampui_hills,0,20.0,0.25,5.0,1.0,2.0,34.0,680.0,1.268,,,Temporal non-event window (dry season monitoring),0.6,[MODELLED],MODELLED,MODELLED,MODELLED,MODELLED,MODELLED,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
CTRL-004,2024-01-28T12:00:00Z,24.375,92.165,Tripura,North Tripura,TR-DHARMAN-01,tripura_jampui_hills,0,20.0,0.25,5.0,1.0,2.0,32.0,210.0,1.346,,,Temporal non-event window (dry season monitoring),0.6,[MODELLED],MODELLED,MODELLED,MODELLED,MODELLED,MODELLED,HISTORICAL,HISTORICAL,MODELLED,MISSING,MISSING
